partner_key,legacy_partner_source,legacy_partner_id,legacy_partner_ids,name,company_type,customer_rank,supplier_rank,sc_supplier_type,sc_account_name,sc_bank_name,sc_bank_account,vat,legacy_credit_code,source_created_by,source_created_at,source_project_name,source_document_state,source_push_result,source_tax_rate,source_files,legacy_source_evidence,review_flags
credit:91510100756614432H,xlsx_supplier_cooperat_company,credit:91510100756614432H,,四川兴天华建设项目管理有限公司,company,0,1,other,,,,91510100756614432H,91510100756614432H,秦军,2024-12-17 23:07,公司综合平台,填单,,3%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx;has_not_approved_source_row
credit:91510600094952802K,xlsx_supplier_cooperat_company,credit:91510600094952802K,,德阳森元路面工程有限公司,company,0,1,other,,,,91510600094952802K,91510600094952802K,邓世娇,2024-04-29 09:04,公司综合平台,审核通过,,1%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx;duplicate_credit_in_xlsx;has_not_approved_source_row
credit:915106002051008819,xlsx_supplier_cooperat_company,credit:915106002051008819,,中国石油天然气股份有限公司四川德阳销售分公司,company,0,1,other,,,,915106002051008819,915106002051008819,陈帅,2022-04-11 10:40,公司综合平台,审核通过,,13%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx
credit:915106002051097473,xlsx_supplier_cooperat_company,credit:915106002051097473,,四川国正建设管理有限公司,company,0,1,other,,,,915106002051097473,915106002051097473,邓世娇,2024-05-10 09:38,公司综合平台,审核通过,,6%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx
credit:91510600708951020G,xlsx_supplier_cooperat_company,credit:91510600708951020G,,中国人寿保险股份有限公司德阳市分公司,company,0,1,other,,,,91510600708951020G,91510600708951020G,邓世娇,2024-05-10 09:31,公司综合平台,填单,,6%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx;has_not_approved_source_row
credit:91510600740032542C,xlsx_supplier_cooperat_company,credit:91510600740032542C,,中国太平洋财产保险股份有限公司德阳中心支公司,company,0,1,other,,,,91510600740032542C,91510600740032542C,邓世娇,2024-04-22 16:27,公司综合平台,审核通过,,6%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx;duplicate_credit_in_xlsx;has_not_approved_source_row
credit:91510600777912367U,xlsx_supplier_cooperat_company,credit:91510600777912367U,,太平财产保险有限公司德阳中心支公司,company,0,1,other,,,,91510600777912367U,91510600777912367U,秦军,2023-03-15 12:11,公司综合平台,审核通过,,6%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx
credit:915106009051327376,xlsx_supplier_cooperat_company,credit:915106009051327376,,中国平安财产保险股份有限公司德阳中心支公司,company,0,1,other,,,,915106009051327376,915106009051327376,邓洪英,2025-04-21 00:00,公司综合平台,审核通过,,6%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx
credit:91510600MA6234EN4C,xlsx_supplier_cooperat_company,credit:91510600MA6234EN4C,,四川楷楠建设工程有限公司,company,0,1,other,,,,91510600MA6234EN4C,91510600MA6234EN4C,尹丹梅,2023-04-12 18:38,公司综合平台,审核通过,,9%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx
credit:91510600MA6235DU8F,xlsx_supplier_cooperat_company,credit:91510600MA6235DU8F,,四川鑫垚建筑劳务有限公司,company,1,1,other,,,,91510600MA6235DU8F,91510600MA6235DU8F,尹丹梅,2023-10-25 21:48,公司综合平台,审核通过,,3%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx
credit:91510600MA64BE9A9E,xlsx_supplier_cooperat_company,credit:91510600MA64BE9A9E,,德阳市鑫福锌钢护栏有限公司,company,0,1,other,,,,91510600MA64BE9A9E,91510600MA64BE9A9E,邓世娇,2024-08-20 10:26,公司综合平台,审核通过,,13%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx;duplicate_credit_in_xlsx;has_not_approved_source_row
credit:91510600MA66RD1B2N,xlsx_supplier_cooperat_company,credit:91510600MA66RD1B2N,,德阳市福兴建筑劳务有限公司,company,0,1,other,,,,91510600MA66RD1B2N,91510600MA66RD1B2N,赵伟,2025-04-02 00:00,公司综合平台,审核通过,,3%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx
credit:91510600MA68701XXQ,xlsx_supplier_cooperat_company,credit:91510600MA68701XXQ,,德阳先河非融资性担保有限公司,company,0,1,other,,,,91510600MA68701XXQ,91510600MA68701XXQ,邓世娇,2024-05-10 09:42,公司综合平台,审核通过,,1%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx;duplicate_credit_in_xlsx
credit:91510600MA68GJNMOM,xlsx_supplier_cooperat_company,credit:91510600MA68GJNMOM,,德阳泰诚硕商贸有限公司,company,0,1,other,,,,91510600MA68GJNMOM,91510600MA68GJNMOM,倪德珍,2022-03-23 14:29,公司综合平台,审核通过,,13%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx
credit:91510600MABMJ9N28R,xlsx_supplier_cooperat_company,credit:91510600MABMJ9N28R,,德阳市旌合建设工程有限公司,company,0,1,other,,,,91510600MABMJ9N28R,91510600MABMJ9N28R,唐明龙,2025-08-12 00:00,公司综合平台,审核通过,,3%,2-1费用单位639136863177201250.xlsx,user_xlsx_supplier_cooperat_company:2-1费用单位639136863177201250.xlsx,duplicate_name_in_xlsx
